"Country","Region","Operable","UnderConstruction","Planned","Proposed","Total"
"Argentina","Latin America & Caribbean",3,1,1,2,7
"Armenia","Europe & Central Asia",1,0,0,1,2
"Bangladesh","South Asia",0,2,0,2,4
"Belarus","Europe & Central Asia",1,1,0,2,4
"Belgium","Europe & Central Asia",7,0,0,0,7
"Brazil","Latin America & Caribbean",2,1,0,4,7
"Bulgaria","Europe & Central Asia",2,0,1,2,5
"Canada","North America",19,0,0,2,21
"China","East Asia & Pacific",52,17,37,168,274
"Czech Republic","Europe & Central Asia",6,0,1,3,10
"Egypt","Middle East & North Africa",0,0,4,0,4
"Finland","Europe & Central Asia",4,1,1,0,6
"France","Europe & Central Asia",56,1,0,0,57
"Germany","Europe & Central Asia",6,0,0,0,6
"Hungary","Europe & Central Asia",4,0,2,0,6
"India","South Asia",23,8,12,28,71
"Iran","Middle East & North Africa",1,1,1,5,8
"Japan","East Asia & Pacific",33,2,1,8,44
"Jordan","Middle East & North Africa",0,0,0,1,1
"Kazakhstan","Europe & Central Asia",0,0,0,2,2
"Korea RO ","East Asia & Pacific",24,4,0,2,30
"Lithuania","Europe & Central Asia",0,0,0,2,2
"Mexico","Latin America & Caribbean",2,0,0,3,5
"Netherlands","Europe & Central Asia",1,0,0,0,1
"Pakistan","South Asia",5,1,1,0,7
"Poland","Europe & Central Asia",0,0,0,6,6
"Romania","Europe & Central Asia",2,0,2,1,5
"Russia","Europe & Central Asia",37,3,27,21,88
"Saudi Arabia","Middle East & North Africa",0,0,0,16,16
"Slovakia","Europe & Central Asia",4,2,0,1,7
"Slovenia","Europe & Central Asia",1,0,0,1,2
"South Africa","Sub-Saharan Africa",2,0,0,8,10
"Spain","Europe & Central Asia",7,0,0,0,7
"Sweden","Europe & Central Asia",6,0,0,0,6
"Switzerland","Europe & Central Asia",4,0,0,0,4
"Thailand","East Asia & Pacific",0,0,0,2,2
"Turkey","Europe & Central Asia",0,3,1,8,12
"Ukraine","Europe & Central Asia",15,2,0,2,19
"UAE","Middle East & North Africa",2,2,0,0,4
"United Kingdom","Europe & Central Asia",12,2,2,2,18
"USA","North America",93,2,3,18,116
"Uzbekistan","Europe & Central Asia",0,0,2,2,4
