COUNTRY  (Click name for  Country Profile),NUCLEAR ELECTRICITY GENERATION  2020,NUCLEAR ELECTRICITY GENERATION  2020.1,REACTORS OPERABLE  December 2021,REACTORS OPERABLE  December 2021.1,REACTORS UNDER CONSTRUCTION  December 2021,REACTORS UNDER CONSTRUCTION  December 2021.1,REACTORS PLANNED  December 2021,REACTORS PLANNED  December 2021.1,REACTORS PROPOSED  December 2021,REACTORS PROPOSED  December 2021.1,URANIUM REQUIRED  2021
COUNTRY  (Click name for  Country Profile),TWh,% e,No.,MWe net,No.,MWe gross,No.,MWe gross,No.,MWe gross,tonnes U
Argentina,10.0,7.5,3,1641,1,29,1,1150,2,1350,167
Armenia,2.6,34.5,1,415,0,0,0,0,1,1060,50
Bangladesh,0,0,0,0,2,2400,0,0,2,2400,0
Belarus,0.3,1.0,1,1110,1,1194,0,0,2,2400,179
Belgium,32.8,39.1,7,5942,0,0,0,0,0,0,790
Brazil †,13.2,2.1,2,1884,1,1405,0,0,4,4000,340
Bulgaria,15.9,40.8,2,2006,0,0,1,1000,2,2000,322
Canada,92.2,14.6,19,13624,0,0,0,0,2,1500,1492
China,344.7,4.9,52,49769,17,18530,37,41660,168,196860,9563
Czech Republic,28.4,37.3,6,3934,0,0,1,1200,3,3600,706
Egypt,0,0,0,0,0,0,4,4800,0,0,0
Finland,22.4,33.9,4,2794,1,1720,1,1170,0,0,421
France,338.7,70.6,56,61370,1,1650,0,0,0,0,8233
Germany,60.9,11.3,6,8113,0,0,0,0,0,0,521
Hungary,15.2,48.0,4,1902,0,0,2,2400,0,0,320
India,40.4,3.3,23,6885,8,6700,12,8400,28,32000,977
Iran,5.8,1.7,1,915,1,1057,1,1057,5,2760,153
Japan †,43.0,5.1,33,31679,2,2756,1,1385,8,11562,1396
Jordan,0,0,0,0,0,0,0,0,1,1000,0
Kazakhstan,0,0,0,0,0,0,0,0,2,600,0
Korea RO (South),152.6,29.6,24,23150,4,5600,0,0,2,2800,4270
Lithuania,0,0,0,0,0,0,0,0,2,2700,0
Mexico,10.9,4.9,2,1552,0,0,0,0,3,3000,226
Netherlands,3.9,3.3,1,482,0,0,0,0,0,0,69
Pakistan,9.6,7.1,5,2242,1,1100,1,1170,0,0,787
Poland,0,0,0,0,0,0,0,0,6,6000,0
Romania,10.6,19.9,2,1300,0,0,2,1440,1,720,185
Russia ‡,201.8,20.6,37,27653,3,2810,27,23725,21,20100,5925
Saudi Arabia,0,0,0,0,0,0,0,0,16,17000,0
Slovakia,14.4,53.1,4,1837,2,942,0,0,1,1200,359
Slovenia,6.0,37.8,1,688,0,0,0,0,1,1000,127
South Africa,11.6,5.9,2,1860,0,0,0,0,8,9600,277
Spain,55.8,22.2,7,7121,0,0,0,0,0,0,1221
Sweden,47.4,29.8,6,6882,0,0,0,0,0,0,914
Switzerland,23.0,32.9,4,2960,0,0,0,0,0,0,412
Thailand,0,0,0,0,0,0,0,0,2,2000,0
Turkey,0,0,0,0,3,3600,1,1200,8,9500,0
Ukraine †,71.5,51.2,15,13107,2,1900,0,0,2,2400,1876
UAE,1.6,1.1,2,2690,2,2800,0,0,0,0,907
United Kingdom,45.9,14.5,12,7343,2,3440,2,3340,2,2300,1259
USA,789.9,19.7,93,95523,2,2500,3,2550,18,8000,17587
Uzbekistan,0,0,0,0,0,0,2,2400,2,2400,0
WORLD*,2553,c 10.3**,440,393232,56,62133,99,100047,325,353812,62496
,TWh,% e,No.,MWe,No.,MWe,No.,MWe,No.,MWe,tonnes U
,NUCLEAR ELECTRICITY GENERATION,NUCLEAR ELECTRICITY GENERATION,OPERABLE,OPERABLE,UNDER CONSTRUCTION,UNDER CONSTRUCTION,PLANNED,PLANNED,PROPOSED,PROPOSED,URANIUM REQUIRED
